id,x,y,park_id,name,address,zip,acres,opened,status,type,img,web
152,-97.76778451,30.38243899,127,Lower Bull Creek Greenbelt,"7806 N Capital of Texas Hwy., Austin, Texas 78731",78731,125.705914,,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
153,-97.73930213,30.22353392,200,Mabel Davis District Park,"3427 Parker Ln., Austin, Texas 78741",78741,53.97237583,,Open,District,no.jpg,https://www.austinparks.org/parks/
154,-97.6919548,30.23300108,210,Montopolis Practice Fields,"901 Vasquez St., Austin, Texas 78741",78741,4.11257526,,Open,Special,no.jpg,https://www.austinparks.org/parks/
155,-97.68618015,30.28973766,211,Morris Williams Golf Course,"3851 Manor Rd., Austin, Texas 78723",78723,184.2439206,,Open_Fee,Golf Course,no.jpg,https://www.austinparks.org/parks/
156,-97.7574941,30.28175266,354,Palma Plaza Triangle Pocket Park,"1524 Palma Plz., Austin, Texas 78703",78703,0.23133212,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
157,-97.73270228,30.36880726,245,Pillow School Park,"8500 Rockwood Ln., Austin, Texas 78757",78757,6.62859478,1966,Open,School,no.jpg,https://www.austinparks.org/parks/
158,-97.79820594,30.15934018,375,South Park Meadows Greenbelt,"10003 S 1st St., Austin, Texas 78748",78748,46.71348829,2009,Open_Restricted,Greenbelt,no.jpg,https://www.austinparks.org/parks/
159,-97.76391974,30.24783997,257,Ricky Guerrero Pocket Park,"2006 S 6th St., Austin, Texas 78704",78704,1.90776495,1970,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
160,-97.75983332,30.24162605,166,Gillis Neighborhood Park,"2410 Durwood Ave., Austin, Texas 78704",78704,6.82793945,1947,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
161,-97.80395277,30.15605484,356,Slaughter Creek at Twin Oaks Greenbelt,"10520 S 1st St., Austin, Texas 78748",78748,11.60525128,2008,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
162,-97.86369138,30.16030607,275,Southland Oaks Neighborhood Park,"3505 Green Emerald Ter., Austin, Texas 78739",78739,18.49679192,1996,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
163,-97.90714319,30.17652485,404,Grey Rock Golf Course,"7401 SH 45 EB, Austin, Texas 78739",78739,290.590833,2014,Open_Restricted,Golf Course,no.jpg,https://www.austinparks.org/parks/
164,-97.70481928,30.27233622,224,Oak Springs School Park,"2806 Goodwin Ave., Austin, Texas 78702",78702,6.02245948,1964,Open,School,no.jpg,https://www.austinparks.org/parks/
165,-97.75496554,30.25338272,216,Nicholas Dawson Neighborhood Park,"704 W James St., Austin, Texas 78704",78704,3.29920818,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
166,-97.70144233,30.35809321,382,Payton Gin Pocket Park,"801 Payton Gin Rd., Austin, Texas 78758",78758,0.82321545,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
